lambda,strategy,error,pnl,cost
0.0005,bellman_dp_costs_adaptive,4.0358919272150935,4.0358919272150935,0.0936533756496286
0.0005,bellman_dp_costs_adaptive,-0.45766227913382806,-0.45766227913382806,0.07835831968105877
0.0005,bellman_dp_costs_adaptive,3.4087595104966795,3.4087595104966795,0.09488162840094345
0.0005,bellman_dp_costs_adaptive,1.6817229540894587,1.6817229540894587,0.10023305617068357
0.0005,bellman_dp_costs_adaptive,-2.977907036322975,-2.977907036322975,0.07979929138154719
0.0005,bellman_dp_costs_adaptive,1.5910272086441282,1.5910272086441282,0.08158604799340582
0.0005,bellman_dp_costs_adaptive,2.6686528370810194,2.6686528370810194,0.09374896104578104
0.0005,bellman_dp_costs_adaptive,2.1838923090425766,2.1838923090425766,0.08466380894458364
0.0005,bellman_dp_costs_adaptive,-1.5209577407467947,-1.5209577407467947,0.045644287107188486
0.0005,bellman_dp_costs_adaptive,-3.044665981075873,-3.044665981075873,0.07437302390392372
0.0005,bellman_dp_costs_adaptive,5.305172954385679,5.305172954385679,0.06628152314077593
0.0005,bellman_dp_costs_adaptive,-1.9149483652542756,-1.9149483652542756,0.0455183106503867
0.0005,bellman_dp_costs_adaptive,-2.6049038857907405,-2.6049038857907405,0.050067253059656903
0.0005,bellman_dp_costs_adaptive,4.201514685064353,4.201514685064353,0.10339390318527211
0.0005,bellman_dp_costs_adaptive,-0.9209860901476148,-0.9209860901476148,0.11372055854433216
0.0005,bellman_dp_costs_adaptive,-3.6997844439908647,-3.6997844439908647,0.049957950938879045
0.0005,bellman_dp_costs_adaptive,-1.5131771343786227,-1.5131771343786227,0.04597503434252184
0.0005,bellman_dp_costs_adaptive,4.373504795593419,4.373504795593419,0.08303501448712812
0.0005,bellman_dp_costs_adaptive,-0.3991225189123,-0.3991225189123,0.09293715195461265
0.0005,bellman_dp_costs_adaptive,3.0665959833627596,3.0665959833627596,0.04099203543445276
0.0005,bellman_dp_costs_adaptive,-2.4107180860832838,-2.4107180860832838,0.06989640762282896
0.0005,bellman_dp_costs_adaptive,-4.475900268730918,-4.475900268730918,0.10497446882098006
0.0005,bellman_dp_costs_adaptive,0.7666649633592293,0.7666649633592293,0.07023935761033352
0.0005,bellman_dp_costs_adaptive,-6.490718040794661,-6.490718040794661,0.07527098388146639
0.0005,bellman_dp_costs_adaptive,3.103006079949509,3.103006079949509,0.07502384966801891
0.0005,bellman_dp_costs_adaptive,4.187241738072217,4.187241738072217,0.06442839380586456
0.0005,bellman_dp_costs_adaptive,-1.2955668551168174,-1.2955668551168174,0.10751826351412588
0.0005,bellman_dp_costs_adaptive,4.607308461378548,4.607308461378548,0.06064822512626611
0.0005,bellman_dp_costs_adaptive,1.179619368968119,1.179619368968119,0.0632378478338333
0.0005,bellman_dp_costs_adaptive,-0.06493876748058369,-0.06493876748058369,0.06530014656275154
0.0005,bellman_dp_costs_adaptive,-1.710488732028324,-1.710488732028324,0.11107534307613671
0.0005,bellman_dp_costs_adaptive,1.0932062966280967,1.0932062966280967,0.06510226327421512
0.0005,bellman_dp_costs_adaptive,7.419219812733992,7.419219812733992,0.09712191133530843
0.0005,bellman_dp_costs_adaptive,-0.6101011620690997,-0.6101011620690997,0.09758380516428612
0.0005,bellman_dp_costs_adaptive,-3.52419901155821,-3.52419901155821,0.11263984145226624
0.0005,bellman_dp_costs_adaptive,4.430439360932404,4.430439360932404,0.051671279650309876
0.0005,bellman_dp_costs_adaptive,1.1706315827489107,1.1706315827489107,0.06372700270027667
0.0005,bellman_dp_costs_adaptive,-0.1394066841906465,-0.1394066841906465,0.06608225233266679
0.0005,bellman_dp_costs_adaptive,2.087167346576166,2.087167346576166,0.07407503091278311
0.0005,bellman_dp_costs_adaptive,-4.122665720166935,-4.122665720166935,0.13566395350603494
0.0005,bellman_dp_costs_adaptive,1.8582411623038837,1.8582411623038837,0.09244364315916649
0.0005,bellman_dp_costs_adaptive,1.126960966416945,1.126960966416945,0.09312859663172811
0.0005,bellman_dp_costs_adaptive,-0.19094423626978152,-0.19094423626978152,0.06600105430795392
0.0005,bellman_dp_costs_adaptive,5.515392282649785,5.515392282649785,0.059496639006013555
0.0005,bellman_dp_costs_adaptive,-1.5497959056015098,-1.5497959056015098,0.08321709121806085
0.0005,bellman_dp_costs_adaptive,-0.1169073941380212,-0.1169073941380212,0.04560134708146862
0.0005,bellman_dp_costs_adaptive,-5.287462050460249,-5.287462050460249,0.05493797597293614
0.0005,bellman_dp_costs_adaptive,-1.2988437857706856,-1.2988437857706856,0.046032882628962844
0.0005,bellman_dp_costs_adaptive,2.342375430148877,2.342375430148877,0.0706803508413403
