decision_date,decision_idx,estimation_start,estimation_end,window_observations,mu_hat,sigma_hat,rf_annual,gamma,w_star,w_long_only
2022-04-01,1572,2020-04-02,2022-03-31,504,0.5870148714896922,0.3097683296564043,0.0053,1.5,4.041521371624911,1.0
2022-04-01,1572,2020-04-02,2022-03-31,504,0.5870148714896922,0.3097683296564043,0.0053,3.0,2.0207606858124554,1.0
2022-04-01,1572,2020-04-02,2022-03-31,504,0.5870148714896922,0.3097683296564043,0.0053,5.0,1.2124564114874734,1.0
2022-05-02,1592,2020-05-01,2022-04-29,504,0.4352136247073359,0.30497008849682233,0.009000000000000001,1.5,3.0550729013716316,1.0
2022-05-02,1592,2020-05-01,2022-04-29,504,0.4352136247073359,0.30497008849682233,0.009000000000000001,3.0,1.5275364506858158,1.0
2022-05-02,1592,2020-05-01,2022-04-29,504,0.4352136247073359,0.30497008849682233,0.009000000000000001,5.0,0.9165218704114892,0.9165218704114892
2022-06-01,1613,2020-06-02,2022-05-31,504,0.3644862924452599,0.3185586488129044,0.0115,1.5,2.318930754904375,1.0
2022-06-01,1613,2020-06-02,2022-05-31,504,0.3644862924452599,0.3185586488129044,0.0115,3.0,1.1594653774521875,1.0
2022-06-01,1613,2020-06-02,2022-05-31,504,0.3644862924452599,0.3185586488129044,0.0115,5.0,0.6956792264713124,0.6956792264713124
2022-07-01,1634,2020-07-01,2022-06-30,504,0.2603027610603397,0.321423200056537,0.0173,1.5,1.5680702236267008,1.0
2022-07-01,1634,2020-07-01,2022-06-30,504,0.2603027610603397,0.321423200056537,0.0173,3.0,0.7840351118133504,0.7840351118133504
2022-07-01,1634,2020-07-01,2022-06-30,504,0.2603027610603397,0.321423200056537,0.0173,5.0,0.47042106708801024,0.47042106708801024
2022-08-01,1654,2020-07-30,2022-07-29,504,0.326087668733269,0.32143623458796755,0.0256,1.5,1.9388567874890392,1.0
2022-08-01,1654,2020-07-30,2022-07-29,504,0.326087668733269,0.32143623458796755,0.0256,3.0,0.9694283937445196,0.9694283937445196
2022-08-01,1654,2020-07-30,2022-07-29,504,0.326087668733269,0.32143623458796755,0.0256,5.0,0.5816570362467118,0.5816570362467118
2022-09-01,1677,2020-09-01,2022-08-31,504,0.15308235935361203,0.31087270156763336,0.0297,1.5,0.8511314472763137,0.8511314472763137
2022-09-01,1677,2020-09-01,2022-08-31,504,0.15308235935361203,0.31087270156763336,0.0297,3.0,0.42556572363815687,0.42556572363815687
2022-09-01,1677,2020-09-01,2022-08-31,504,0.15308235935361203,0.31087270156763336,0.0297,5.0,0.2553394341828941,0.2553394341828941
2022-10-03,1698,2020-10-01,2022-09-30,504,0.13938397856279813,0.3000292265777426,0.0346,1.5,0.7760264076441764,0.7760264076441764
2022-10-03,1698,2020-10-01,2022-09-30,504,0.13938397856279813,0.3000292265777426,0.0346,3.0,0.3880132038220882,0.3880132038220882
2022-10-03,1698,2020-10-01,2022-09-30,504,0.13938397856279813,0.3000292265777426,0.0346,5.0,0.23280792229325295,0.23280792229325295
2022-11-01,1719,2020-10-30,2022-10-31,504,0.19381687883653542,0.3011440722784955,0.042300000000000004,1.5,1.1138356617181606,1.0
2022-11-01,1719,2020-10-30,2022-10-31,504,0.19381687883653542,0.3011440722784955,0.042300000000000004,3.0,0.5569178308590803,0.5569178308590803
2022-11-01,1719,2020-10-30,2022-10-31,504,0.19381687883653542,0.3011440722784955,0.042300000000000004,5.0,0.33415069851544826,0.33415069851544826
2022-12-01,1740,2020-12-01,2022-11-30,504,0.16221609707643997,0.30761633868047517,0.0433,1.5,0.8377811609878052,0.8377811609878052
2022-12-01,1740,2020-12-01,2022-11-30,504,0.16221609707643997,0.30761633868047517,0.0433,3.0,0.4188905804939026,0.4188905804939026
2022-12-01,1740,2020-12-01,2022-11-30,504,0.16221609707643997,0.30761633868047517,0.0433,5.0,0.25133434829634155,0.25133434829634155
2023-01-03,1761,2020-12-31,2022-12-30,504,0.0390523776758082,0.3080976293078844,0.0453,1.5,-0.04387799717159109,0.0
2023-01-03,1761,2020-12-31,2022-12-30,504,0.0390523776758082,0.3080976293078844,0.0453,3.0,-0.021938998585795545,0.0
2023-01-03,1761,2020-12-31,2022-12-30,504,0.0390523776758082,0.3080976293078844,0.0453,5.0,-0.013163399151477325,0.0
2023-02-01,1781,2021-02-01,2023-01-31,504,0.09682725648991809,0.303965760172598,0.0466,1.5,0.36240890967719325,0.36240890967719325
2023-02-01,1781,2021-02-01,2023-01-31,504,0.09682725648991809,0.303965760172598,0.0466,3.0,0.18120445483859662,0.18120445483859662
2023-02-01,1781,2021-02-01,2023-01-31,504,0.09682725648991809,0.303965760172598,0.0466,5.0,0.10872267290315799,0.10872267290315799
2023-03-01,1800,2021-03-01,2023-02-28,504,0.15004642159753745,0.30470735666297855,0.049,1.5,0.7255440749183328,0.7255440749183328
2023-03-01,1800,2021-03-01,2023-02-28,504,0.15004642159753745,0.30470735666297855,0.049,3.0,0.3627720374591664,0.3627720374591664
2023-03-01,1800,2021-03-01,2023-02-28,504,0.15004642159753745,0.30470735666297855,0.049,5.0,0.21766322247549988,0.21766322247549988
2023-04-03,1823,2021-04-01,2023-03-31,504,0.2006465087893718,0.2987276850552253,0.049,1.5,1.132896436111752,1.0
2023-04-03,1823,2021-04-01,2023-03-31,504,0.2006465087893718,0.2987276850552253,0.049,3.0,0.566448218055876,0.566448218055876
2023-04-03,1823,2021-04-01,2023-03-31,504,0.2006465087893718,0.2987276850552253,0.049,5.0,0.3398689308335256,0.3398689308335256
2023-05-01,1842,2021-04-29,2023-04-28,504,0.17002145913297315,0.2981006597925926,0.0527,1.5,0.8801573541995985,0.8801573541995985
2023-05-01,1842,2021-04-29,2023-04-28,504,0.17002145913297315,0.2981006597925926,0.0527,3.0,0.44007867709979925,0.44007867709979925
2023-05-01,1842,2021-04-29,2023-04-28,504,0.17002145913297315,0.2981006597925926,0.0527,5.0,0.26404720625987954,0.26404720625987954
2023-06-01,1864,2021-06-01,2023-05-31,504,0.22596947271386464,0.29650674192524407,0.055,1.5,1.296457151659551,1.0
2023-06-01,1864,2021-06-01,2023-05-31,504,0.22596947271386464,0.29650674192524407,0.055,3.0,0.6482285758297756,0.6482285758297756
2023-06-01,1864,2021-06-01,2023-05-31,504,0.22596947271386464,0.29650674192524407,0.055,5.0,0.3889371454978654,0.3889371454978654
2023-07-03,1885,2021-06-30,2023-06-30,504,0.22606547826654377,0.29640428811582586,0.054400000000000004,1.5,1.3026350035559076,1.0
