lambda,frequency,strategy,band,rmse,mae,pnl_mean,pnl_q01,pnl_q05,pnl_q50,pnl_q95,pnl_q99,mean_total_cost,mean_turnover,mean_n_rebalances,mse,eta,criterion_J
0.0005,26,no_trade_band,0.2,2.6229154321831403,2.0227757299702,-0.23909143129680566,-7.533314133428923,-4.6797955578284895,-0.10899045997499712,3.7251783712386466,5.174061870340424,0.06253102381161156,1.2467422972333546,3.5684,6.87968536438447,1.0,6.942216388196082
0.0005,26,optimized_no_trade_band,0.0,1.34443259134533,1.0064499725792944,-0.12043360763360195,-3.7920950990724345,-2.3095572464508214,-0.11389540722564001,2.0587940806741982,3.2553599735174803,0.10632804565681715,2.111873383251719,25.9243,1.8074989926715193,1.0,1.9138270383283364
0.0005,52,delta_bs,0.0,0.9688341978062599,0.7223386301501239,-0.14500475284586123,-2.7672824475457696,-1.714963991303972,-0.1253770508348495,1.3925408230158165,2.237109841545364,0.13954406602733851,2.7730707078020096,51.6167,0.9386397028388992,1.0,1.0781837688662377
0.0005,52,no_trade_band,0.0,0.9688341978062599,0.7223386301501239,-0.14500475284586123,-2.7672824475457696,-1.714963991303972,-0.1253770508348495,1.3925408230158165,2.237109841545364,0.13954406602733851,2.7730707078020096,51.6167,0.9386397028388992,1.0,1.0781837688662377
0.0005,52,no_trade_band,0.02,0.9810418954066739,0.7362199512318774,-0.1456640941606796,-2.7837326590210987,-1.7379134014825515,-0.12430218338284899,1.4124962205009133,2.2523730426872874,0.1332785118778811,2.6521977105671284,32.25745,0.9624432005431192,1.0,1.0957217124210001
0.0005,52,no_trade_band,0.05,1.0782338413703405,0.8245302244704404,-0.14244942029971683,-3.010662121000197,-1.895599510919088,-0.13457532363128877,1.5954459354324535,2.4806778989468303,0.11596186546793424,2.311075081388794,19.2565,1.1625882166762407,1.0,1.2785500821441749
0.0005,52,no_trade_band,0.1,1.3996746770186925,1.0943734709355397,-0.13812414796785014,-3.7069185086621754,-2.432810231830807,-0.11787740764833154,2.0946718021735116,3.1068148506483455,0.09196804088268823,1.8334194590987845,9.61135,1.9590892014873815,1.0,2.05105724237007
0.0005,52,no_trade_band,0.2,2.462670181326174,1.8900483318241117,-0.2383544042066796,-7.327939644169692,-4.4113369653227155,-0.0851939051528845,3.4692022899626096,4.734181963395611,0.0670207516296258,1.3351500773888725,4.06595,6.064744421993091,1.0,6.131765173622717
0.0005,52,optimized_no_trade_band,0.0,0.9688341978062599,0.7223386301501239,-0.14500475284586123,-2.7672824475457696,-1.714963991303972,-0.1253770508348495,1.3925408230158165,2.237109841545364,0.13954406602733851,2.7730707078020096,51.6167,0.9386397028388992,1.0,1.0781837688662377
0.0005,126,delta_bs,0.0,0.6561449837006422,0.49109658380613663,-0.20260076480014078,-1.9699263422661042,-1.2602084275431906,-0.17898003623112402,0.7778349994703295,1.2851743166386633,0.20220070134058646,4.018923561458372,124.29495,0.43052623963551606,1.0,0.6327269409761025
0.0005,126,no_trade_band,0.0,0.6561449837006422,0.49109658380613663,-0.20260076480014078,-1.9699263422661042,-1.2602084275431906,-0.17898003623112402,0.7778349994703295,1.2851743166386633,0.20220070134058646,4.018923561458372,124.29495,0.43052623963551606,1.0,0.6327269409761025
0.0005,126,no_trade_band,0.02,0.6773523986771292,0.5134322366489686,-0.19068367910240805,-2.004174241109167,-1.2808491937916828,-0.1722502522953709,0.8326632807344823,1.3491941348168215,0.18299028927370092,3.6454826860172003,62.56135,0.45880627199366053,1.0,0.6417965612673615
0.0005,126,no_trade_band,0.05,0.820732957622651,0.6395742213869389,-0.16504452981850384,-2.216033708807232,-1.5047305645998674,-0.14949679203690103,1.112911674852376,1.7047684714317657,0.14297431218232856,2.852378552841386,29.34315,0.6736025877280243,1.0,0.8165768999103529
0.0005,126,no_trade_band,0.1,1.242024196291334,0.9662185876779075,-0.17144314154926565,-3.3641297801257655,-2.228232356299857,-0.1296149799902776,1.7472985755206216,2.5763930527514973,0.10434290756686752,2.0824729064787433,12.36225,1.5426241041731343,1.0,1.646967011740002
0.0005,126,no_trade_band,0.2,2.304207650028963,1.7765187253630648,-0.22356078965249235,-6.801958966400142,-4.011372471845748,-0.09529942185421669,3.2240853229059625,4.354764463398172,0.07210642585924604,1.4339304195468046,4.65625,5.309372894451996,1.0,5.381479320311242
0.0005,126,optimized_no_trade_band,0.0,0.6561449837006422,0.49109658380613663,-0.20260076480014078,-1.9699263422661042,-1.2602084275431906,-0.17898003623112402,0.7778349994703295,1.2851743166386633,0.20220070134058646,4.018923561458372,124.29495,0.43052623963551606,1.0,0.6327269409761025
0.0005,252,delta_bs,0.0,0.5284632557834543,0.4007712101864272,-0.27784538756011495,-1.5634793253348576,-1.0561180386948343,-0.2456605606078881,0.39593649234287226,0.7823539531447508,0.27451699756799364,5.456529227687245,247.7692,0.2792734127132486,1.0,0.5537904102812423
0.0005,252,no_trade_band,0.0,0.5284632557834543,0.4007712101864272,-0.27784538756011495,-1.5634793253348576,-1.0561180386948343,-0.2456605606078881,0.39593649234287226,0.7823539531447508,0.27451699756799364,5.456529227687245,247.7692,0.2792734127132486,1.0,0.5537904102812423
0.0005,252,no_trade_band,0.02,0.5414962052047423,0.4149694309615679,-0.2385596969379561,-1.533293519630379,-1.0660650871613626,-0.21479116827754674,0.505946741229338,0.8916772043607631,0.2304182528928881,4.594253761321508,98.56275,0.29321814025113635,1.0,0.5236363931440244
0.0005,252,no_trade_band,0.05,0.7003333765504776,0.5471165110598675,-0.1865106810141008,-1.8933975996975005,-1.3108307832776767,-0.1682201692220168,0.8912318118030285,1.3241619441728132,0.1631863446843444,3.2579631144011088,37.92765,0.49046683831059307,1.0,0.6536531829949375
0.0005,252,no_trade_band,0.1,1.17525801601125,0.9067801220656082,-0.18283419321531152,-3.3405491896137183,-2.116328975021363,-0.14099801612284624,1.6191036551558717,2.3274757388286407,0.11253189816468723,2.247292262144998,14.38395,1.3812314041986995,1.0,1.4937633023633867
0.0005,252,no_trade_band,0.2,2.18631844758964,1.7000815752969003,-0.20443736470006646,-5.985547925606749,-3.7589307668056375,-0.08871783215344076,3.0992598577163024,4.205104404030097,0.07535463476125147,1.4963199312614033,5.0601,4.779988354270773,1.0,4.8553429890320245
0.0005,252,optimized_no_trade_band,0.02,0.5414962052047423,0.4149694309615679,-0.2385596969379561,-1.533293519630379,-1.0660650871613626,-0.21479116827754674,0.505946741229338,0.8916772043607631,0.2304182528928881,4.594253761321508,98.56275,0.29321814025113635,1.0,0.5236363931440244
